"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Proteasome","Ntwrk.Proteasome","NtwrkCount.NF-kappa B signaling pathway","Ntwrk.NF-kappa B signaling pathway","NtwrkCount.Toll-like receptor signaling pathway","Ntwrk.Toll-like receptor signaling pathway","Total_Path_Hits.net.count"
"1",55752,"11-Sep",82,"HighConf","Novel",NA,2,"SIN3A, TMEM177",0,NA,0,NA,0,NA,0
"2",2,"A2M",223,"HighConf","Novel",NA,19,"CDC42, FGA, RHOB, LGALS3BP, IL1B, TGFB2, ECM1, PF4, RHOV, RHOF, ITIH4, SERPING1, CLEC3B, SERPINA4, TOR4A, SERPINA3, GAB2, IGF2, ALDOA",0,NA,0,NA,1,"IL1B",1
"3",22848,"AAK1",471,"MedConf","Novel",NA,25,"CFTR, DNM1, TF, WNT5A, AGFG1, APOB, EPN1, TACR1, CHRM2, SNX9, ACTR2, RPS27A, UBB, CLTC, SYT1, RAB5A, EGFR, SCARB2, PIK3C2A, ITSN2, UBC, CLTA, ADRB2, LDLR, SNX18",0,NA,0,NA,0,NA,0
"4",18,"ABAT",166,"HighConf","Novel","Valine, leucine and isoleucine degradation",8,"CFL2, CFL1, ALDH3A2, PRPF8, HSPE1, LDHAL6B, DBT, GDA",0,NA,0,NA,0,NA,0
"5",20,"ABCA2",737,"MedConf","Novel",NA,5,"ATP12A, ATP1B3, ATP1A3, ABCG5, ATP1B2",0,NA,0,NA,0,NA,0
"6",64240,"ABCG5",435,"MedConf","Novel",NA,5,"ATP1B2, ABCA2, ATP12A, ATP1B3, ATP1A3",0,NA,0,NA,0,NA,0
"7",10006,"ABI1",266,"HighConf","Novel",NA,9,"EGFR, ARPC1B, SYK, EPS8, ACTR2, PXN, ITGB1, CDC42, WIPF2",0,NA,1,"SYK",0,NA,1
"8",36,"ACADSB",502,"MedConf","Novel","Valine, leucine and isoleucine degradation",4,"PRSS16, DLD, DBT, HADHA",0,NA,0,NA,0,NA,0
"9",1636,"ACE",422,"MedConf","Novel","Renin secretion",1,"AGT",0,NA,0,NA,0,NA,0
"10",22985,"ACIN1",151,"HighConf","Novel","RNA transport, Spliceosome",5,"BCAS2, SON, SAFB, SRPK2, SLC3A2",0,NA,0,NA,0,NA,0
"11",50,"ACO2",773,"HighConf","Novel",NA,4,"ALDOA, SIN3A, TIMM13, IDH3A",0,NA,0,NA,0,NA,0
"12",59,"ACTA2",198,"MedConf","Novel","Relaxin signaling pathway",7,"VCL, GSTP1, SORBS3, ITGA1, MYL7, MYLPF, PXN",0,NA,0,NA,0,NA,0
"13",10097,"ACTR2",11,"HighConf","Novel",NA,34,"PSMD7, PSMA7, RPS27A, UBB, SVIL, CLTC, CDC42, WIPF2, ABI1, SYT1, RAB5A, CFL1, EGFR, SCARB2, ARPC1B, PIK3C2A, ITSN2, PDGFRB, UBC, CLTA, ADRB2, LDLR, SNX18, AAK1, CFTR, DNM1, TF, WNT5A, AGFG1, APOB, EPN1, TACR1, CHRM2, SNX9",2,"PSMD7, PSMA7",0,NA,0,NA,2
"14",8038,"ADAM12",852,"MedConf","Novel",NA,1,"ITGB1",0,NA,0,NA,0,NA,0
"15",8754,"ADAM9",647,"MedConf","Novel",NA,1,"COL17A1",0,NA,0,NA,0,NA,0
"16",127,"ADH4",887,"MedConf","Novel",NA,6,"GSTO1, GSTA1, GSTP1, MGST1, ALDH3A2, GSTA3",0,NA,0,NA,0,NA,0
"17",113622,"ADPRHL1",159,"HighConf","Novel",NA,5,"EIF4B, SH3GLB1, SRP68, SCML2, RAE1",0,NA,0,NA,0,NA,0
