"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Proteasome","Ntwrk.Proteasome","NtwrkCount.Toll-like receptor signaling pathway","Ntwrk.Toll-like receptor signaling pathway","NtwrkCount.Spliceosome","Ntwrk.Spliceosome","Total_Path_Hits.net.count"
"1",55752,"11-Sep",606,"HighConf","Novel",NA,2,"UBC, SIN3A",0,NA,0,NA,0,NA,0
"2",2,"A2M",211,"HighConf","Novel",NA,16,"CDC42, RHOB, LRP1, ALDOA, RHOV, ARHGDIB, IGF2, ARHGEF3, ARHGEF6, IL1B, KALRN, RHOF, PF4, SERPING1, GAB2, TGFB2",0,NA,1,"IL1B",0,NA,1
"3",20,"ABCA2",873,"MedConf","Novel",NA,3,"ATP1A3, ATP1B3, ATP12A",0,NA,0,NA,0,NA,0
"4",10006,"ABI1",712,"HighConf","Novel",NA,6,"ACTR2, EPS8, SYK, ITGB1, ARPC1B, EGFR",0,NA,0,NA,0,NA,0
"5",32,"ACACB",230,"MedConf","Novel",NA,9,"OASL, SUN1, UBQLN4, E2F3, ISG15, RPS27A, UBC, UBB, SP1",0,NA,0,NA,0,NA,0
"6",36,"ACADSB",844,"MedConf","Novel",NA,1,"HADHA",0,NA,0,NA,0,NA,0
"7",1636,"ACE",856,"MedConf","Novel","Renin secretion",1,"AGT",0,NA,0,NA,0,NA,0
"8",22985,"ACIN1",246,"HighConf","Spliceosome","RNA transport, Spliceosome",2,"SRPK2, UBC",0,NA,0,NA,0,NA,0
"9",59,"ACTA2",161,"MedConf","Novel","Relaxin signaling pathway",6,"SORBS3, CFL1, VCL, ITGA1, PXN, UBC",0,NA,0,NA,0,NA,0
"10",10097,"ACTR2",266,"HighConf","Novel",NA,7,"ABI1, WIPF2, CDC42, ARPC1B, PDGFRB, PSMA7, UBC",1,"PSMA7",0,NA,0,NA,1
"11",8038,"ADAM12",716,"MedConf","Novel",NA,3,"ITGB1, EGFR, LRIG1",0,NA,0,NA,0,NA,0
"12",127,"ADH4",530,"MedConf","Novel",NA,6,"GSTA3, MGST1, ALDH3A2, GSTO1, GSTA1, GSTP1",0,NA,0,NA,0,NA,0
"13",154,"ADRB2",383,"HighConf","Novel","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion, Adrenergic signaling in cardiomyocytes",20,"AGT, ADRBK1, VIPR1, MC2R, PRKAR2B, EDN1, GHRH, GPBAR1, HTR6, PTGER2, GRK4, DRD5, GNAI3, PTGIR, UBC, CFTR, CXCR4, SCT, HRH2, CALCR",0,NA,0,NA,0,NA,0
"14",156,"ADRBK1",414,"MedConf","Novel",NA,30,"GNA15, CXCR5, CXCL8, CXCR3, EDN1, TACR1, TACR3, DRD2, GNA11, AVPR1A, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, AGT, GIT1, CXCR4, CX3CR1, ADRB2, UBC, OPRM1, CCR8, NMUR2",0,NA,1,"CXCL8",0,NA,1
"15",174,"AFP",678,"MedConf","Novel",NA,2,"UBC, JUN",0,NA,1,"JUN",0,NA,1
"16",177,"AGER",761,"MedConf","Novel","AGE-RAGE signaling pathway in diabetic complications",4,"IKBKB, NFKBIB, RELA, ITGAM",0,NA,2,"RELA, IKBKB",0,NA,2
"17",375790,"AGRN",464,"HighConf","Novel","ECM-receptor interaction",16,"EXT2, GPC2, NCAM1, MUSK, CSPG5, HPSE2, SLC35D2, ARHGEF6, APOB, ITGB1, ITGA1, LAMA5, PTK2B, PXN, CDC42, LRP1",0,NA,0,NA,0,NA,0
"18",183,"AGT",411,"MedConf","Novel","Renin secretion",50,"ADRBK1, GNA15, CXCR5, CXCL13, CXCL8, MTNR1B, CXCR3, PRKAR2B, EDN1, TACR1, TACR3, NPY, DRD2, PNOC, GNA11, KALRN, CXCL11, HTR1A, SSTR4, AVPR1A, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, ACE, MME, DNM1, ADRB2, OPRM1, NCOA6, NMUR2, CXCR4, GNAI3, C5, CFTR, CCR8",0,NA,2,"CXCL8, CXCL11",0,NA,2
"19",202,"AIM1",820,"MedConf","Novel",NA,2,"BIRC5, CDCA8",0,NA,0,NA,0,NA,0
"20",326,"AIRE",743,"HighConf","Novel",NA,1,"HDAC2",0,NA,0,NA,0,NA,0
"21",205,"AK4",869,"HighConf","Novel",NA,4,"NT5C, PDE1B, DCK, AMPD1",0,NA,0,NA,0,NA,0
"22",122481,"AK7",582,"HighConf","Novel",NA,4,"PDE1B, AMPD1, NT5C, DCK",0,NA,0,NA,0,NA,0
"23",211,"ALAS1",671,"MedConf","Novel",NA,4,"UBC, POLD4, NCOA6, ESRRA",0,NA,0,NA,0,NA,0
"24",224,"ALDH3A2",488,"HighConf","Novel","Lysine degradation",2,"ADH4, UBC",0,NA,0,NA,0,NA,0
"25",226,"ALDOA",282,"HighConf","Novel",NA,13,"ARNT, PGAM2, IGF2, FBP1, PF4, DERA, TKTL2, SERPING1, G6PC, A2M, TGFB2, UBC, GAPDH",0,NA,0,NA,0,NA,0
"26",246,"ALOX15",870,"MedConf","Novel","Serotonergic synapse",6,"PLA2G4A, GPX1, PLA2G6, JMJD7-PLA2G4B, PLA2G4D, GPX3",0,NA,0,NA,0,NA,0
"27",57679,"ALS2",814,"HighConf","Novel",NA,1,"RAB5A",0,NA,0,NA,0,NA,0
"28",270,"AMPD1",584,"HighConf","Novel",NA,8,"NT5C, ENTPD4, AK4, HPRT1, DCK, ITPA, AK7, PDE1B",0,NA,0,NA,0,NA,0
"29",84250,"ANKRD32",796,"MedConf","Novel",NA,1,"POLE",0,NA,0,NA,0,NA,0
"30",118429,"ANTXR2",684,"MedConf","Novel","NOD-like receptor signaling pathway",1,"UBC",0,NA,0,NA,0,NA,0
"31",338,"APOB",321,"MedConf","Novel",NA,15,"ITGAM, AGRN, GPC2, MSR1, SP1, VCP, P4HB, CALCR, PDIA4, LDLR, LRP1, UBC, HSP90B1, CALR, HSPA5",0,NA,0,NA,0,NA,0
"32",55843,"ARHGAP15",808,"HighConf","Novel",NA,8,"CDC42, ARHGEF6, KALRN, ARHGDIB, RHOB, RHOV, RHOF, ARHGEF3",0,NA,0,NA,0,NA,0
"33",57569,"ARHGAP20",519,"MedConf","Novel",NA,8,"RHOF, KALRN, ARHGEF6, CDC42, ARHGEF3, RHOV, ARHGDIB, RHOB",0,NA,0,NA,0,NA,0
"34",9743,"ARHGAP32",447,"MedConf","Novel",NA,8,"KALRN, RHOF, CDC42, ARHGDIB, ARHGEF3, ARHGEF6, RHOV, RHOB",0,NA,0,NA,0,NA,0
"35",394,"ARHGAP5",518,"HighConf","Novel","Leukocyte transendothelial migration, Focal adhesion",9,"RHOF, CDC42, RHOB, ARHGEF3, ARHGEF6, ARHGDIB, CLTA, RHOV, KALRN",0,NA,0,NA,0,NA,0
"36",64333,"ARHGAP9",807,"MedConf","Novel",NA,8,"CDC42, ARHGEF6, RHOV, KALRN, RHOF, ARHGEF3, RHOB, ARHGDIB",0,NA,0,NA,0,NA,0
"37",397,"ARHGDIB",343,"MedConf","Novel","Vasopressin-regulated water reabsorption",14,"PRKX, ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, CDC42, A2M, NGFR, RHOV, RHOB, JUN",0,NA,1,"JUN",0,NA,1
"38",50650,"ARHGEF3",412,"MedConf","Novel",NA,11,"ARHGAP32, KALRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP9, ARHGAP15, RHOB, A2M, CDC42, RHOV",0,NA,0,NA,0,NA,0
