EntrezID,GeneSymbol,PathwayID,PathwayName
2,A2M,4610,Complement and coagulation cascades
462,SERPINC1,4610,Complement and coagulation cascades
623,BDKRB1,4610,Complement and coagulation cascades
624,BDKRB2,4610,Complement and coagulation cascades
629,CFB,4610,Complement and coagulation cascades
710,SERPING1,4610,Complement and coagulation cascades
712,C1QA,4610,Complement and coagulation cascades
713,C1QB,4610,Complement and coagulation cascades
714,C1QC,4610,Complement and coagulation cascades
715,C1R,4610,Complement and coagulation cascades
716,C1S,4610,Complement and coagulation cascades
717,C2,4610,Complement and coagulation cascades
718,C3,4610,Complement and coagulation cascades
719,C3AR1,4610,Complement and coagulation cascades
720,C4A,4610,Complement and coagulation cascades
721,C4B,4610,Complement and coagulation cascades
722,C4BPA,4610,Complement and coagulation cascades
725,C4BPB,4610,Complement and coagulation cascades
727,C5,4610,Complement and coagulation cascades
728,C5AR1,4610,Complement and coagulation cascades
729,C6,4610,Complement and coagulation cascades
730,C7,4610,Complement and coagulation cascades
731,C8A,4610,Complement and coagulation cascades
732,C8B,4610,Complement and coagulation cascades
733,C8G,4610,Complement and coagulation cascades
735,C9,4610,Complement and coagulation cascades
966,CD59,4610,Complement and coagulation cascades
1361,CPB2,4610,Complement and coagulation cascades
1378,CR1,4610,Complement and coagulation cascades
1380,CR2,4610,Complement and coagulation cascades
1604,CD55,4610,Complement and coagulation cascades
1675,CFD,4610,Complement and coagulation cascades
2147,F2,4610,Complement and coagulation cascades
2149,F2R,4610,Complement and coagulation cascades
2152,F3,4610,Complement and coagulation cascades
2153,F5,4610,Complement and coagulation cascades
2155,F7,4610,Complement and coagulation cascades
2157,F8,4610,Complement and coagulation cascades
2158,F9,4610,Complement and coagulation cascades
2159,F10,4610,Complement and coagulation cascades
2160,F11,4610,Complement and coagulation cascades
2161,F12,4610,Complement and coagulation cascades
2162,F13A1,4610,Complement and coagulation cascades
2165,F13B,4610,Complement and coagulation cascades
2243,FGA,4610,Complement and coagulation cascades
2244,FGB,4610,Complement and coagulation cascades
2266,FGG,4610,Complement and coagulation cascades
3053,SERPIND1,4610,Complement and coagulation cascades
3075,CFH,4610,Complement and coagulation cascades
3426,CFI,4610,Complement and coagulation cascades
3818,KLKB1,4610,Complement and coagulation cascades
3827,KNG1,4610,Complement and coagulation cascades
4153,MBL2,4610,Complement and coagulation cascades
4179,CD46,4610,Complement and coagulation cascades
5054,SERPINE1,4610,Complement and coagulation cascades
5104,SERPINA5,4610,Complement and coagulation cascades
5265,SERPINA1,4610,Complement and coagulation cascades
5327,PLAT,4610,Complement and coagulation cascades
5328,PLAU,4610,Complement and coagulation cascades
5329,PLAUR,4610,Complement and coagulation cascades
5340,PLG,4610,Complement and coagulation cascades
5345,SERPINF2,4610,Complement and coagulation cascades
5624,PROC,4610,Complement and coagulation cascades
5627,PROS1,4610,Complement and coagulation cascades
5648,MASP1,4610,Complement and coagulation cascades
7035,TFPI,4610,Complement and coagulation cascades
7056,THBD,4610,Complement and coagulation cascades
7450,VWF,4610,Complement and coagulation cascades
10747,MASP2,4610,Complement and coagulation cascades
9,NAT1,232,Caffeine metabolism
10,NAT2,232,Caffeine metabolism
1544,CYP1A2,232,Caffeine metabolism
1548,CYP2A6,232,Caffeine metabolism
1549,CYP2A7,232,Caffeine metabolism
1553,CYP2A13,232,Caffeine metabolism
7498,XDH,232,Caffeine metabolism
9,NAT1,983,Drug metabolism - other enzymes
10,NAT2,983,Drug metabolism - other enzymes
978,CDA,983,Drug metabolism - other enzymes
1066,CES1,983,Drug metabolism - other enzymes
1548,CYP2A6,983,Drug metabolism - other enzymes
1549,CYP2A7,983,Drug metabolism - other enzymes
1551,CYP3A7,983,Drug metabolism - other enzymes
