"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"274",54,"ACP5","HighConf","Yes","Lysosome, Osteoclast differentiation",NA,NA
"287",2180,"ACSL1","HighConf","Yes","Ferroptosis, PPAR signaling pathway, Fatty acid biosynthesis, Adipocytokine signaling pathway, Fatty acid metabolism","PPT1","Fatty acid metabolism (1), Lysosome (1)"
"289",2182,"ACSL4","HighConf","Yes","Ferroptosis, PPAR signaling pathway, Fatty acid biosynthesis, Adipocytokine signaling pathway, Fatty acid metabolism","PPT1","Fatty acid metabolism (1), Lysosome (1)"
"1324",537,"ATP6AP1","MedConf","Yes","Lysosome, Phagosome",NA,NA
"2240",817,"CAMK2D","MedConf","Yes","Necroptosis, HIF-1 signaling pathway, ErbB signaling pathway","STAT1","Prolactin signaling pathway (1), Chemokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Toll-like receptor signaling pathway (1), Necroptosis (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1)"
"2348",867,"CBL","MedConf","Yes","Endocytosis, ErbB signaling pathway","STAT5A, LCP2, CLTA, HLA-A, FCER1G","Natural killer cell mediated cytotoxicity (3), Endocytosis (2), Cellular senescence (1), Antigen processing and presentation (1), Type I diabetes mellitus (1), Phagosome (1), Lysosome (1), Osteoclast differentiation (1), ErbB signaling pathway (1), Prolactin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Necroptosis (1), Cell adhesion molecules (CAMs) (1)"
"2519",6364,"CCL20","HighConf","Yes","TNF signaling pathway, Chemokine signaling pathway, IL-17 signaling pathway",NA,NA
"2528",6348,"CCL3","MedConf","Yes","Toll-like receptor signaling pathway, Chemokine signaling pathway",NA,NA
"2532",388372,"CCL4L1","HighConf","Yes","NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Cytosolic DNA-sensing pathway, Chemokine signaling pathway",NA,NA
"2534",6352,"CCL5","HighConf","Yes","NOD-like receptor signaling pathway, Toll-like receptor signaling pathway, TNF signaling pathway, Cytosolic DNA-sensing pathway, Chemokine signaling pathway",NA,NA
"2607",909,"CD1A","MedConf","Yes","Hematopoietic cell lineage",NA,NA
"2609",911,"CD1C","MedConf","Yes","Hematopoietic cell lineage",NA,NA
"2617",30835,"CD209","MedConf","Yes","Phagosome",NA,NA
"2624",29126,"CD274","HighConf","Yes","Cell adhesion molecules (CAMs)",NA,NA
"2639",948,"CD36","HighConf","Yes","Hematopoietic cell lineage, Phagosome, PPAR signaling pathway, Adipocytokine signaling pathway","CD9, FABP4","PPAR signaling pathway (1), Hematopoietic cell lineage (1)"
"2647",958,"CD40","HighConf","Yes","NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Cell adhesion molecules (CAMs)","STAT5A, TRAF1, NFKB1","Prolactin signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Apoptosis (2), TNF signaling pathway (2), NF-kappa B signaling pathway (2), ErbB signaling pathway (1), Necroptosis (1), IL-17 signaling pathway (1), Cellular senescence (1), RIG-I-like receptor signaling pathway (1), Adipocytokine signaling pathway (1), Antifolate resistance (1), Chemokine signaling pathway (1), HIF-1 signaling pathway (1), Cytosolic DNA-sensing pathway (1), Toll-like receptor signaling pathway (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1)"
"2649",960,"CD44","MedConf","Yes","Hematopoietic cell lineage","MT2A, HLA-B, ICAM1, HLA-A, GBP1, GBP2, GLG1, PML, IRF5, OAS3, OAS2","NOD-like receptor signaling pathway (4), Endocytosis (3), Natural killer cell mediated cytotoxicity (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Phagosome (2), Toll-like receptor signaling pathway (1), Leukocyte transendothelial migration (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Mineral absorption (1), Cell adhesion molecules (CAMs) (4)"
"2652",962,"CD48","MedConf","Yes","Natural killer cell mediated cytotoxicity",NA,NA
"2661",967,"CD63","MedConf","Yes","Lysosome","CD9","Hematopoietic cell lineage (1)"
"2667",972,"CD74","HighConf","Yes","Antigen processing and presentation","CTSB, LGMN, CLTA","Lysosome (3), Antigen processing and presentation (2), Apoptosis (1), NOD-like receptor signaling pathway (1), Endocytosis (1)"
"2678",928,"CD9","MedConf","Yes","Hematopoietic cell lineage","CD36, CD63","Lysosome (1), Adipocytokine signaling pathway (1), PPAR signaling pathway (1), Phagosome (1), Hematopoietic cell lineage (1)"
"3251",1211,"CLTA","MedConf","Yes","Lysosome, Endocytosis","CD74, CBL, NCF2","Leukocyte transendothelial migration (1), Osteoclast differentiation (1), Phagosome (1), ErbB signaling pathway (1), Endocytosis (1), Antigen processing and presentation (1)"
"3760",1508,"CTSB","MedConf","Yes","Lysosome, NOD-like receptor signaling pathway, Antigen processing and presentation, Apoptosis","CD74","Antigen processing and presentation (1)"
"3766",1512,"CTSH","MedConf","Yes","Lysosome, Apoptosis",NA,NA
"3774",1522,"CTSZ","MedConf","Yes","Lysosome, Apoptosis",NA,NA
"3940",1601,"DAB2","MedConf","Yes","Endocytosis",NA,NA
