"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Toll-like receptor signaling pathway","Ntwrk.Toll-like receptor signaling pathway","NtwrkCount.NA","Ntwrk.NA","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"1",2,"A2M",160,"MedConf","Novel",NA,9,"CDC42, RHOB, LRP1, ALDOA, ARHGEF3, ARHGEF6, RHOF, PF4, GAB2",0,NA,0,"",0,"",0
"2",10006,"ABI1",448,"HighConf","Novel",NA,5,"ARPC1B, EPS8, ITGB1, ACTR2, EGFR",0,NA,0,"",0,"",0
"3",36,"ACADSB",518,"MedConf","Novel",NA,2,"DLD, DBT",0,NA,0,"",0,"",0
"4",50,"ACO2",595,"HighConf","Novel","Citrate cycle (TCA cycle)",1,"IDH3B",0,NA,0,"",0,"",0
"5",59,"ACTA2",126,"MedConf","Novel","Relaxin signaling pathway, Apelin signaling pathway",2,"CFL1, PXN",0,NA,0,"",0,"",0
"6",10097,"ACTR2",201,"HighConf","Novel",NA,6,"ABI1, WIPF2, PDGFRB, ARPC1B, CDC42, PSMA7",0,NA,0,"",0,"",0
"7",8038,"ADAM12",454,"MedConf","Novel",NA,2,"ITGB1, EGFR",0,NA,0,"",0,"",0
"8",154,"ADRB2",285,"MedConf","Novel","cAMP signaling pathway, Renin secretion, cGMP-PKG signaling pathway, Adrenergic signaling in cardiomyocytes",14,"VIPR1, PRKAR2B, EDN1, GHRH, GPBAR1, HTR6, PTGER2, GRK4, DRD5, HRH2, CXCR4, GNAI3, SCT, PTGIR",0,NA,0,"",0,"",0
"9",174,"AFP",523,"MedConf","Novel",NA,1,"JUN",1,"JUN",0,"",0,"",1
"10",375790,"AGRN",337,"HighConf","Novel",NA,8,"NCAM1, PTK2B, ITGB1, PXN, ARHGEF6, LRP1, APOB, CDC42",0,NA,0,"",0,"",0
"11",326,"AIRE",484,"MedConf","Novel",NA,1,"HDAC2",0,NA,0,"",0,"",0
"12",205,"AK4",619,"HighConf","Novel",NA,4,"DCK, NT5M, AMPD1, PDE1B",0,NA,0,"",0,"",0
"13",122481,"AK7",410,"HighConf","Novel",NA,4,"PDE1B, NT5M, AMPD1, DCK",0,NA,0,"",0,"",0
"14",211,"ALAS1",426,"MedConf","Novel",NA,3,"NCOA6, PPARGC1A, ESRRA",0,NA,0,"",0,"",0
"15",226,"ALDOA",215,"HighConf","Novel",NA,9,"ARNT, LDHB, DERA, TKTL2, PF4, LDHAL6B, G6PC, A2M, PDHA1",0,NA,0,"",0,"",0
"16",246,"ALOX15",620,"MedConf","Novel","Serotonergic synapse",4,"GPX3, PLA2G4D, PLA2G4A, JMJD7-PLA2G4B",0,NA,0,"",0,"",0
"17",270,"AMPD1",413,"MedConf","Novel",NA,8,"ENTPD4, AK4, DCK, PDE1B, HPRT1, ITPA, NT5M, AK7",0,NA,0,"",0,"",0
"18",338,"APOB",244,"MedConf","Novel",NA,10,"ITGAM, AGRN, MSR1, LRP1, CALR, SP1, HSPA5, HSP90B1, VCP, P4HB",0,NA,0,"",0,"",0
"19",55843,"ARHGAP15",554,"HighConf","Novel",NA,5,"ARHGEF3, ARHGEF6, RHOB, CDC42, RHOF",0,NA,0,"",0,"",0
"20",57569,"ARHGAP20",374,"MedConf","Novel",NA,5,"RHOF, ARHGEF3, ARHGEF6, CDC42, RHOB",0,NA,0,"",0,"",0
"21",9743,"ARHGAP32",329,"MedConf","Novel",NA,5,"RHOF, RHOB, CDC42, ARHGEF3, ARHGEF6",0,NA,0,"",0,"",0
"22",394,"ARHGAP5",373,"MedConf","Novel","Leukocyte transendothelial migration, Focal adhesion",6,"RHOF, ARHGEF6, CLTA, ARHGEF3, CDC42, RHOB",0,NA,0,"",0,"",0
"23",50650,"ARHGEF3",307,"MedConf","Novel",NA,8,"ARHGAP32, ARHGAP5, ARHGAP20, RHOF, ARHGAP15, RHOB, A2M, CDC42",0,NA,0,"",0,"",0
"24",9459,"ARHGEF6",313,"HighConf","Novel","Regulation of actin cytoskeleton",13,"ARHGAP32, AGRN, ARHGAP5, ARHGAP20, RHOF, ARHGAP15, GIT1, CDC42, ITGB1, PXN, MRAS, A2M, RHOB",0,NA,0,"",0,"",0
"25",405,"ARNT",248,"HighConf","Novel",NA,14,"CXCR4, EDN1, TF, TFF3, SLC2A1, CREB1, SMAD4, EPO, JUN, PTGES3, COPS5, EPAS1, SP1, ALDOA",1,"JUN",0,"",0,"",1
"26",10095,"ARPC1B",199,"MedConf","Novel","Regulation of actin cytoskeleton",4,"ACTR2, ABI1, PSMA7, PDGFRB",0,NA,0,"",0,"",0
"27",427,"ASAH1",414,"HighConf","Novel","Sphingolipid signaling pathway",3,"SGPP2, PPAP2A, SMPD2",0,NA,0,"",0,"",0
"28",50807,"ASAP1",594,"MedConf","Novel",NA,1,"CLTA",0,NA,0,"",0,"",0
"29",55870,"ASH1L",582,"HighConf","Novel",NA,1,"PLOD3",0,NA,0,"",0,"",0
"30",479,"ATP12A",357,"MedConf","Novel",NA,3,"ATP1A3, PPA1, ATP1B3",0,NA,0,"",0,"",0
"31",478,"ATP1A3",361,"MedConf","Novel","Thyroid hormone synthesis, Aldosterone-regulated sodium reabsorption, cAMP signaling pathway, Proximal tubule bicarbonate reclamation, Thyroid hormone signaling pathway, cGMP-PKG signaling pathway, Insulin secretion, Endocrine and other factor-regulated calcium reabsorption, Adrenergic signaling in cardiomyocytes",5,"ATP1B2, FXYD7, ATP1B3, ATP12A, PRKX",0,NA,0,"",0,"",0
"32",482,"ATP1B2",405,"MedConf","Novel","Thyroid hormone synthesis, Aldosterone-regulated sodium reabsorption, cAMP signaling pathway, Proximal tubule bicarbonate reclamation, Thyroid hormone signaling pathway, cGMP-PKG signaling pathway, Insulin secretion, Endocrine and other factor-regulated calcium reabsorption, Adrenergic signaling in cardiomyocytes",4,"FXYD7, ATP1A3, PRKX, ATP1B3",0,NA,0,"",0,"",0
"33",483,"ATP1B3",356,"HighConf","Novel","Thyroid hormone synthesis, Aldosterone-regulated sodium reabsorption, cAMP signaling pathway, Proximal tubule bicarbonate reclamation, Thyroid hormone signaling pathway, cGMP-PKG signaling pathway, Insulin secretion, Endocrine and other factor-regulated calcium reabsorption, Adrenergic signaling in cardiomyocytes",5,"ATP12A, ATP1A3, ATP1B2, FXYD7, PRKX",0,NA,0,"",0,"",0
"34",23439,"ATP1B4",611,"MedConf","Novel","Thyroid hormone synthesis, Aldosterone-regulated sodium reabsorption, cAMP signaling pathway, Proximal tubule bicarbonate reclamation, Thyroid hormone signaling pathway, cGMP-PKG signaling pathway, Insulin secretion, Endocrine and other factor-regulated calcium reabsorption, Adrenergic signaling in cardiomyocytes",1,"PRKX",0,NA,0,"",0,"",0
"35",50617,"ATP6V0A4",542,"HighConf","Novel","Phagosome",4,"TCIRG1, PPA1, ATP6V1B2, TF",0,NA,0,"",0,"",0
"36",526,"ATP6V1B2",135,"HighConf","Novel","Phagosome",4,"TCIRG1, PPA1, TF, ATP6V0A4",0,NA,0,"",0,"",0
"37",552,"AVPR1A",372,"MedConf","Novel","Phospholipase D signaling pathway",13,"NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, UTS2B, XCL2, GNRH2, TACR1, GNA15, NMUR2, EDN1",0,NA,0,"",0,"",0
"38",573,"BAG1",97,"MedConf","Novel","Protein processing in endoplasmic reticulum",2,"JUN, STUB1",1,"JUN",0,"",0,"",1
"39",64919,"BCL11B",483,"MedConf","Novel",NA,1,"HDAC2",0,NA,0,"",0,"",0
"40",598,"BCL2L1",122,"HighConf","Novel","PI3K-Akt signaling pathway, NF-kappa B signaling pathway, NOD-like receptor signaling pathway, Ras signaling pathway, Mitophagy - animal, Apoptosis",6,"STAT1, PRKAR2B, NMI, DNM1L, PMAIP1, PGAM5",1,"STAT1",0,"",0,"",1
"41",602,"BCL3",501,"MedConf","Novel","TNF signaling pathway",2,"IKBKB, RELA",2,"RELA, IKBKB",0,"",0,"",2
"42",623,"BDKRB1",385,"MedConf","Novel","Regulation of actin cytoskeleton",30,"KISS1, PROK1, TRH, LTB4R, UTS2B, XCL2, GNRH2, CCR8, C5, PTGDR2, TACR1, DRD2, SSTR4, CXCL13, GNAI3, DRD3, NMS, OPRM1, RGS20, MTNR1B, AVPR1A, EDN1, HCAR2, FPR3, CXCR4, CXCL11, GNA15, HTR1A, NMUR2, CXCR3",1,"CXCL11",0,"",0,"",1
