EntrezID,GeneSymbol,GeneMappingID,ConfidenceCategory,Group,Pathway,Allnet.count,Ntwrk.all
2,A2M,197,HighConf,Novel,,5,"CDC42, IL1B, TGFB2, PF4, GAB2"
22848,AAK1,394,MedConf,Novel,,10,"CFTR, DNM1, TACR1, CHRM2, CLTC, SYT1, RAB5A, EGFR, CLTA, ADRB2"
18,ABAT,148,HighConf,Novel,"Valine, leucine and isoleucine degradation",8,"CFL2, CFL1, ALDH3A2, PRPF8, DBT, LDHAL6B, HSPE1, GDA"
20,ABCA2,932,MedConf,Novel,,3,"ATP1B3, ATP1A3, ATP1B2"
64240,ABCG5,363,MedConf,Novel,,3,"ATP1B2, ATP1B3, ATP1A3"
10006,ABI1,233,HighConf,Novel,,6,"EGFR, ARPC1B, SYK, PXN, ITGB1, CDC42"
36,ACADSB,421,MedConf,Novel,"Valine, leucine and isoleucine degradation",4,"PRSS16, DLD, DBT, HADHA"
1636,ACE,350,MedConf,Novel,Renin secretion,1,AGT
22985,ACIN1,133,HighConf,RNA transport,"RNA transport, Spliceosome",5,"BCAS2, SON, SAFB, SRPK2, SLC3A2"
50,ACO2,663,HighConf,Novel,,1,SIN3A
59,ACTA2,179,MedConf,Novel,Relaxin signaling pathway,7,"VCL, GSTP1, SORBS3, ITGA1, MYL7, MYLPF, PXN"
10097,ACTR2,11,HighConf,Novel,,16,"PSMD7, PSMA7, CLTC, CDC42, SYT1, RAB5A, CFL1, EGFR, ARPC1B, PDGFRB, CLTA, ADRB2, CFTR, DNM1, TACR1, CHRM2"
8038,ADAM12,796,MedConf,Novel,,1,ITGB1
8754,ADAM9,553,MedConf,Novel,,1,COL17A1
127,ADH4,842,MedConf,Novel,,1,ALDH3A2
113622,ADPRHL1,140,HighConf,Novel,,2,"EIF4B, RAE1"
54936,ADPRHL2,797,MedConf,Novel,,1,ERC1
154,ADRB2,386,HighConf,Novel,"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion, Adrenergic signaling in cardiomyocytes",52,"LDLR, SNX18, AAK1, INSL3, CFTR, DNM1, WNT5A, TF, AGFG1, APOB, EPN1, TACR1, CHRM2, EDN1, CXCR4, NPY, SCT, RLN3, GHRH, PTGER2, GPR15, HTR6, PTGIR, DRD5, P2RY11, VIPR1, MC2R, CALCR, RLN2, SNX9, GPBAR1, GHRL, GRK4, ACTR2, RPS27A, UBB, CLTC, PRKAR2B, ADRBK1, HRH2, GNG3, SYT1, RAB5A, EGFR, GNG10, UBC, SCARB2, PIK3C2A, ITSN2, GNAI3, CLTA, AGT"
156,ADRBK1,239,MedConf,Novel,,76,"GNG3, GNG10, AGT, DRD2, CXCL8, ADRB2, CXCR5, TACR1, CCR8, EDN1, CXCR3, CXCR4, BDKRB1, NMUR2, CX3CR1, NMS, OPRM1, P2RY11, MLNR, GNRH2, GNA15, PROK1, AVPR1A, TACR3, TRH, LTB4R, GPR4, UTS2B, KISS1, CSNK1G1, XCL2, OR5M9, OR10A5, OR51B5, OR8J3, OR52A5, OR10A2, OR2AT4, OR5T3, OR2M4, OR6Q1, OR5B3, OR2Y1, OR10Q1, OR10H4, OR52K2, OR2D3, OR51L1, OR52N4, OR51F2, OR4P4, OR8D4, OR1G1, OR4N5, OR51M1, OR13C8, OR10H1, OR5B17, OR2M2, OR2L3, OR52M1, OR2T5, OR2AK2, OR4D1, OR14J1, OR2J2, OR5D16, OR5L2, OR51I1, OR51A2, OR5K3, OR10W1, OR6B2, OR4E2, PAPOLA, GNA11"
174,AFP,807,MedConf,Novel,,1,JUN
177,AGER,818,MedConf,Novel,AGE-RAGE signaling pathway in diabetic complications,2,"RELA, ITGAM"
3267,AGFG1,445,MedConf,Novel,,10,"TACR1, CHRM2, CLTC, SYT1, RAB5A, EGFR, CLTA, ADRB2, CFTR, DNM1"
375790,AGRN,564,HighConf,Novel,,10,"ITGA1, PXN, ITGB1, CDC42, PTK2B, LAMA5, LAMA4, ITGA5, ITGAV, ARHGEF6"
