"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"183",51703,"ACSL5","HighConf","Yes","Ferroptosis, Fatty acid degradation, Adipocytokine signaling pathway","CPT1B","AMPK signaling pathway (1), Glucagon signaling pathway (1), Adipocytokine signaling pathway (1), Fatty acid degradation (1)"
"196",60,"ACTB","MedConf","Yes","Apoptosis, Phagosome, Hippo signaling pathway, Regulation of actin cytoskeleton, Tight junction, Focal adhesion, Platelet activation","TUBA1C, ITGA2, ITGA5, ARPC1B, ARID1A, FCGR2A, DSTN, NCKIPSD, SMARCB1, CREBBP, MYH10, TCP1, ATF2, SUMO2","Regulation of actin cytoskeleton (4), Phagosome (4), PI3K-Akt signaling pathway (3), Glucagon signaling pathway (2), Tight junction (2), Platelet activation (2), Focal adhesion (2), ECM-receptor interaction (2), MAPK signaling pathway (1), TNF signaling pathway (1), RNA transport (1), Cell cycle (1), Wnt signaling pathway (1), Osteoclast differentiation (1), Endocytosis (1), Apoptosis (1)"
"316",55256,"ADI1","MedConf","Yes","Cysteine and methionine metabolism",NA,NA
"508",501,"ALDH7A1","MedConf","Yes","Fatty acid degradation","CYP4A11","Fatty acid degradation (1)"
"607",51434,"ANAPC7","MedConf","Yes","Cell cycle","CDK1, PSMC4, UBA52, PSME4, CREBBP","Cell cycle (2), Cellular senescence (1), p53 signaling pathway (1), Glucagon signaling pathway (1), Wnt signaling pathway (1)"
"762",317,"APAF1","MedConf","Yes","Apoptosis, Apoptosis - multiple species, Platinum drug resistance, p53 signaling pathway","CASP3, CASP8, DIABLO","Apoptosis (6), Apoptosis - multiple species (3), IL-17 signaling pathway (2), TNF signaling pathway (2), p53 signaling pathway (2), Platinum drug resistance (2), Natural killer cell mediated cytotoxicity (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1), RIG-I-like receptor signaling pathway (1), Necroptosis (1), NOD-like receptor signaling pathway (1), Non-alcoholic fatty liver disease (NAFLD) (2)"
"857",55738,"ARFGAP1","MedConf","Yes","Endocytosis",NA,NA
"931",8289,"ARID1A","MedConf","Yes",NA,"ACTB, SMARCB1, ATF2, CREBBP","Glucagon signaling pathway (2), Platelet activation (1), Focal adhesion (1), Tight junction (1), Regulation of actin cytoskeleton (1), Hippo signaling pathway (1), Phagosome (1), Apoptosis (1), PI3K-Akt signaling pathway (1), MAPK signaling pathway (1), TNF signaling pathway (1), Cell cycle (1), Wnt signaling pathway (1)"
"996",10095,"ARPC1B","MedConf","Yes","Regulation of actin cytoskeleton, Endocytosis","ACTB, ARPC4-TTLL3","Platelet activation (1), Focal adhesion (1), Tight junction (1), Regulation of actin cytoskeleton (1), Hippo signaling pathway (1), Phagosome (1), Apoptosis (1)"
"1000",100526693,"ARPC4-TTLL3","MedConf","Yes",NA,"ARPC1B","Endocytosis (1), Regulation of actin cytoskeleton (1)"
