"","name","imports","weights","datasource","Confidence"
"1","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.DNM1",900,"database","Medium"
"2","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.CXCR5",900,"database","Medium"
"3","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.CHRM2",900,"database","Medium"
"4","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.CCR8",900,"database","Medium"
"5","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.CXCR3",900,"database","Medium"
"6","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.CXCR4",900,"database","Medium"
"7","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.BDKRB1",900,"database","Medium"
"8","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.TAS2R7",900,"database","Medium"
"9","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.NPY",900,"database","Medium"
"10","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.SSTR4",900,"database","Medium"
"11","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.NMUR2",900,"database","Medium"
"12","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.CX3CR1",800,"database","Medium"
"13","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.MTNR1B",900,"database","Medium"
"14","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.CXCL13",900,"database","Medium"
"15","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.PF4",900,"database","Medium"
"16","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.PNOC",900,"database","Medium"
"17","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Toll-like receptor signaling pathway.CXCL11",900,"database","Medium"
"18","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.HTR1A",900,"database","Medium"
"19","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.PTGDR2",900,"database","Medium"
"20","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.FPR3",900,"database","Medium"
"21","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.NPBWR2",900,"database","Medium"
"22","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.NMS",900,"database","Medium"
"23","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.HCAR2",900,"database","Medium"
"24","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.OPRM1",900,"database","Medium"
"25","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.RLN3",900,"database","Medium"
"26","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.TAS2R50",900,"database","Medium"
"27","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.S1PR2",900,"database","Medium"
"28","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.GNA15",900,"database","Medium"
"29","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.AVPR1A",800,"database","Medium"
"30","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.HIST1H2BJ",900,"database","Medium"
"31","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.HIST1H2BK",900,"database","Medium"
"32","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.PARN",900,"database","Medium"
"33","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.EXOSC5",900,"database","Medium"
"34","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.EXOSC4",900,"database","Medium"
"35","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.RPS27A",900,"database","Medium"
"36","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.UBB",900,"database","Medium"
"37","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","TNF signaling pathway & AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.RELA",900,"database","Medium"
"38","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.ADRBK1",900,"database","Medium"
"39","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.GNG3",900,"database","Medium"
"40","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.RAB5A",900,"database","Medium"
"41","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.EGFR",900,"database","Medium"
"42","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","TNF signaling pathway & AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.JUN",900,"database","Medium"
"43","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.GNG10",900,"database","Medium"
"44","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.C5",900,"database","Medium"
"45","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.UBC",900,"database","Medium"
"46","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.GNAI3",900,"database","Medium"
"47","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.AGT",900,"database","Medium"
"48","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.EHMT2",900,"database","Medium"
"49","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.EHMT1",900,"database","Medium"
"50","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.CXCL8","Novel.DRD2",900,"database","Medium"
"51","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.EGFR",900,"database","High"
"52","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.EPO",900,"database","High"
"53","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.GNB2L1",800,"database","High"
"54","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","TNF signaling pathway.TNFRSF1A",900,"database","High"
"55","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.PDGFRB",900,"database","High"
"56","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.PDGFRA",900,"database","High"
"57","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.SOCS2",800,"database","High"
"58","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","TNF signaling pathway.CSF2",900,"database","High"
"59","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.CXCR4",900,"database","High"
"60","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.IL22",900,"database","High"
"61","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.THPO",900,"database","High"
"62","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Toll-like receptor signaling pathway.IL12A",900,"database","High"
"63","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.IL12RB2",900,"database","High"
"64","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.IL27RA",900,"database","High"
"65","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.IRF9",800,"database","High"
"66","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.SLMAP",800,"experimental","High"
"67","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.IL17A",900,"database","High"
"68","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.PTPN2",800,"database","High"
"69","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.USP18",900,"database","High"
"70","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.CYLD",900,"database","High"
"71","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.EBI3",900,"database","High"
"72","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.GATA3",900,"database","High"
"73","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","TNF signaling pathway & Toll-like receptor signaling pathway.RIPK1",900,"database","High"
"74","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.EIF2AK2",900,"database","High"
"75","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","TNF signaling pathway & AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.MAPK13",900,"database","High"
"76","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.ISG15",900,"database","High"
"77","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.AHSA1",417,"experimental","High"
"78","AGE-RAGE signaling pathway in diabetic complications & Toll-like receptor signaling pathway.STAT1","Novel.BCL2L1",900,"database","High"
"79","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.NGFR",800,"database","Medium"
"80","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.WIPF2",900,"database","Medium"
"81","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ABI1",900,"database","Medium"
"82","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.EGFR",900,"database","Medium"
"83","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARPC1B",900,"database","Medium"
"84","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.STMN1",634,"experimental","Medium"
"85","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.BUB1B",900,"database","Medium"
"86","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARHGDIB",900,"database","Medium"
"87","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.RAP1A",900,"database","Medium"
"88","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.UBC",900,"database","Medium"
"89","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.RHOB",900,"database","Medium"
"90","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.LAMA5",900,"database","Medium"
"91","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.MIS12",900,"database","Medium"
"92","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ITGB3BP",900,"database","Medium"
"93","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.CENPH",900,"database","Medium"
"94","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.CENPP",900,"database","Medium"
"95","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ITSN2",900,"database","Medium"
"96","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.PPP2R5A",900,"database","Medium"
"97","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.GNAI3",900,"database","Medium"
"98","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.SYK",900,"database","Medium"
"99","AGE-RAGE signaling pathway in diabetic complications.CDC42","TNF signaling pathway & Toll-like receptor signaling pathway.MAP2K6",900,"database","Medium"
"100","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.CTNND1",900,"database","Medium"
"101","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARHGEF6",900,"database","Medium"
"102","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.KIF18A",900,"database","Medium"
"103","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.RAB14",417,"experimental","Medium"
"104","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.GNAO1",900,"database","Medium"
"105","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.KALRN",900,"database","Medium"
"106","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.CXCR4",900,"database","Medium"
"107","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.AGRN",900,"database","Medium"
"108","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.RHOV",900,"database","Medium"
"109","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.RHOF",900,"database","Medium"
"110","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.BIRC5",900,"database","Medium"
"111","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ITGA1",900,"database","Medium"
"112","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.PFN1",900,"database","Medium"
"113","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.EXOC7",900,"database","Medium"
"114","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.DOCK5",900,"database","Medium"
"115","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.EPS8",900,"database","Medium"
"116","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.CDCA8",900,"database","Medium"
"117","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.PLXNB1",900,"database","Medium"
"118","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.PARD6G",800,"database","Medium"
"119","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.GIT1",900,"database","Medium"
"120","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARHGAP5",900,"database","Medium"
"121","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARHGAP20",900,"database","Medium"
"122","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARHGEF19",900,"database","Medium"
"123","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARHGAP15",900,"database","Medium"
"124","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARHGAP32",900,"database","Medium"
"125","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARHGEF3",900,"database","Medium"
"126","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ARHGAP9",900,"database","Medium"
"127","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.FMNL2",900,"database","Medium"
"128","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.CD28",900,"database","Medium"
"129","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.SPATA13",900,"database","Medium"
"130","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.MUSK",900,"database","Medium"
"131","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.MAP3K9",900,"database","Medium"
"132","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.DOCK10",900,"database","Medium"
"133","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.RANBP2",900,"database","Medium"
"134","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.PPP2R5E",900,"database","Medium"
"135","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.ACTR2",900,"database","Medium"
"136","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.RANGAP1",900,"database","Medium"
"137","AGE-RAGE signaling pathway in diabetic complications.CDC42","Novel.PPP2CB",900,"database","Medium"
