"","GeneSymbol","GeneMappingID","Group","EntrezID","Pathway","Ntwrk.all","Allnet.count","Ntwrk.TLR","TLRnet.count","Ntwrk.PROT","PROTnet.count","Ntwrk.SPLICE","SPLICEnet.count","Ntwrk.TLR.hits","TLRhits.net.count","Ntwrk.PROT.hits","PROThits.net.count","Ntwrk.SPLICE.hits","SPLICEhits.net.count","Total_Path_Hits.net.count"
"1","A2M",110,"Novel",2,NA,"LRP1, IL1B",2,"IL1B",1,"IL1B",1,"IL1B",1,"IL1B",1,NA,0,"IL1B",1,2
"2","ACACB",130,"Novel",32,"Propanoate metabolism","UBQLN4, OASL, RRAGA, SUN1, SPAG4, UBC, ISG15, E2F3, RPS27A, UBB",10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"3","ACIN1",144,"Novel",22985,"Spliceosome ; RNA transport","SRPK2, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"4","ACTA2",129,"Novel",59,NA,"CFL1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"5","ADRB2",317,"Novel",154,"Endocytosis","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"6","AHRR",409,"Novel",57491,NA,"ARNT",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"7","AIRE",314,"Novel",326,NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"8","ALAS1",372,"Novel",211,NA,"POLD4, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"9","ALCAM",376,"Novel",214,"Cell adhesion molecules (CAMs)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"10","ALDH3A2",403,"Novel",224,"Lysine degradation ; Propanoate metabolism ; beta-Alanine metabolism","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"11","APOB",273,"Novel",338,NA,"CALR, CALCR, LDLR, HSPA5, HSP90B1, VCP, UBC",7,NA,0,"CALR",1,NA,0,NA,0,"CALR",1,NA,0,1
"12","ARHGAP32",362,"Novel",9743,NA,"CDC42",1,NA,0,NA,0,"CDC42",1,NA,0,NA,0,"CDC42",1,1
"13","ARHGDIB",289,"Novel",397,"Vasopressin-regulated water reabsorption ; Neurotrophin signaling pathway","CDC42",1,NA,0,NA,0,"CDC42",1,NA,0,NA,0,"CDC42",1,1
"14","ARHGEF6",344,"Novel",9459,"Regulation of actin cytoskeleton ; Pancreatic cancer","CDC42, GIT1",2,NA,0,NA,0,"CDC42",1,NA,0,NA,0,"CDC42",1,1
"15","ARNT",195,"Novel",405,"Renal cell carcinoma","NPAS4, SIM1, AHRR, EPAS1, PTGES3",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"16","ARPC1B",242,"Novel",10095,"Regulation of actin cytoskeleton ; Shigellosis ; Fc gamma R-mediated phagocytosis ; Bacterial invasion of epithelial cells ; Pathogenic Escherichia coli infection","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"17","ASAP1",320,"Novel",50807,"Endocytosis ; Fc gamma R-mediated phagocytosis","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"18","ASAP2",258,"Novel",8853,"Endocytosis ; Fc gamma R-mediated phagocytosis","PXN, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"19","ASF1A",281,"Novel",25842,NA,"ASF1B, ATR, TAF1",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"20","ASF1B",151,"Novel",55723,NA,"ASF1A, KAT2B, ATR, UBC, TAF1",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"21","ATF3",209,"Novel",467,NA,"JUN, UBC",2,NA,0,"JUN",1,"JUN",1,NA,0,NA,0,"JUN",1,1
"22","ATP6V1B2",220,"Novel",526,"Phagosome ; Rheumatoid arthritis ; Epithelial cell signaling in Helicobacter pylori infection","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"23","ATR",135,"Novel",545,"Cell cycle","ASF1B, ASF1A, RAD51, UBC, MSH2, XPA, CCNB2",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"24","BCAS2",225,"Novel",10286,"Spliceosome","PLRG1, CDC5L, UBC, PRPF8, MFAP1, EFTUD2",6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"25","BCL11B",210,"Novel",64919,NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"26","BCL2L1",123,"Novel",598,"Toxoplasmosis ; Apoptosis ; Amyotrophic lateral sclerosis (ALS) ; Pancreatic cancer ; Jak-STAT signaling pathway ; Chronic myeloid leukemia","DNM1L, SPATA25, PMAIP1, PGAM5, UBC",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"27","BCL3",236,"Novel",602,NA,"RELA, IKBKB, UBC",3,NA,0,"RELA, IKBKB",2,"RELA, IKBKB",2,NA,0,NA,0,"RELA, IKBKB",2,2
"28","BMP7",150,"Cytokine-cytokine receptor interaction",655,"Cytokine-cytokine receptor interaction","BMPR1B",1,"BMPR1B",1,NA,0,NA,0,"BMPR1B",1,NA,0,NA,0,1
"29","BMPR1B",172,"Cytokine-cytokine receptor interaction",658,"Cytokine-cytokine receptor interaction","SMAD6, BMP7",2,"BMP7",1,NA,0,NA,0,"BMP7",1,NA,0,NA,0,1
"30","BRAF",106,"MAPK signaling pathway",673,"Regulation of actin cytoskeleton ; MAPK signaling pathway ; Chemokine signaling pathway ; Focal adhesion ; Hepatitis C ; Pancreatic cancer ; Prostate cancer ; Long-term depression ; Chronic myeloid leukemia ; Melanoma ; Natural killer cell mediated cytotoxicity ; Neurotrophin signaling pathway ; Renal cell carcinoma ; Progesterone-mediated oocyte maturation","RAP1A, CAPN3, UBC, YWHAG, SFN, YWHAH",6,NA,0,NA,0,"RAP1A",1,NA,0,NA,0,"RAP1A",1,1
"31","BRCA2",192,"Novel",675,"Pancreatic cancer","PALB2, RAD51",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"32","BRSK2",283,"Novel",9024,NA,"UBC, CDC25C, CDC25B",3,NA,0,NA,0,"CDC25B",1,NA,0,NA,0,"CDC25B",1,1
"33","BUB1B",177,"Novel",701,"Cell cycle","CDC20B, PLK1, UBC, MIS12",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"34","CACNA1C",336,"MAPK signaling pathway",775,"MAPK signaling pathway ; GnRH signaling pathway ; Arrhythmogenic right ventricular cardiomyopathy (ARVC)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"35","CALCR",142,"Novel",799,"Osteoclast differentiation","APOB",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"36","CALR",111,"Chagas disease (American trypanosomiasis)",811,"Chagas disease (American trypanosomiasis) ; Phagosome","HSP90B1, LRP1, APOB, PDIA3, UBC, P4HB",6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"37","CAMLG",306,"Novel",819,NA,"EGFR",1,"EGFR",1,NA,0,"EGFR",1,"EGFR",1,NA,0,"EGFR",1,2
"38","CAPN2",284,"Novel",824,"Focal adhesion ; Apoptosis","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"39","CAPN3",349,"Novel",825,NA,"BRAF",1,NA,0,NA,0,"BRAF",1,NA,0,NA,0,"BRAF",1,1
"40","CARD11",319,"Novel",84433,"T cell receptor signaling pathway","UBC, MAP3K7",2,NA,0,NA,0,"MAP3K7",1,NA,0,NA,0,"MAP3K7",1,1
"41","CCDC12",241,"Novel",151903,"Spliceosome","CDC5L",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"42","CCDC94",253,"Novel",55702,NA,"SNW1, CDC5L, PLRG1, XAB2",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"43","CCDC97",268,"Novel",90324,NA,"SF3B6, SF3B1",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"44","CCNB2",79,"Novel",9133,"Cell cycle ; Progesterone-mediated oocyte maturation","ATR, CKS2, UBC",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"45","CCND2",205,"Novel",894,"Focal adhesion ; Cell cycle ; Jak-STAT signaling pathway","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"46","CCNE1",91,"Novel",898,"Prostate cancer ; Cell cycle","E2F3, MYBL2, HIST1H1B, UBC, FBXW7",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"47","CCS",335,"Novel",9973,"Amyotrophic lateral sclerosis (ALS)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"48","CD14",178,"MAPK signaling pathway",929,"Regulation of actin cytoskeleton ; MAPK signaling pathway ; Toll-like receptor signaling pathway ; Amoebiasis ; Phagosome ; Hematopoietic cell lineage ; Pathogenic Escherichia coli infection","TLR2",1,NA,0,"TLR2",1,NA,0,NA,0,"TLR2",1,NA,0,1
"49","CD2BP2",230,"Novel",10421,NA,"PRPF8",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"50","CDC20B",338,"Novel",166979,NA,"BUB1B",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"51","CDC25B",152,"MAPK signaling pathway",994,"MAPK signaling pathway ; Cell cycle ; Progesterone-mediated oocyte maturation","BRSK2, YWHAH, UBC, YWHAG, SFN",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"52","CDC25C",153,"Novel",995,"Cell cycle ; Progesterone-mediated oocyte maturation","BRSK2, YWHAH, UBC, PCNA, PLK1",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"53","CDC42",107,"MAPK signaling pathway",998,"Regulation of actin cytoskeleton ; MAPK signaling pathway ; Leukocyte transendothelial migration ; Chemokine signaling pathway ; Focal adhesion ; Endocytosis ; Tight junction ; Shigellosis ; Fc gamma R-mediated phagocytosis ; Bacterial invasion of epithelial cells ; Pancreatic cancer ; GnRH signaling pathway ; Epithelial cell signaling in Helicobacter pylori infection ; T cell receptor signaling pathway ; Pathogenic Escherichia coli infection ; Neurotrophin signaling pathway ; VEGF signaling pathway ; Renal cell carcinoma","RAP1A, ARHGDIB, ARHGEF6, PARD6G, ARHGAP32, CDC42EP3, UBC",7,NA,0,NA,0,"RAP1A",1,NA,0,NA,0,"RAP1A",1,1
"54","CDC42EP3",374,"Novel",10602,NA,"CDC42",1,NA,0,NA,0,"CDC42",1,NA,0,NA,0,"CDC42",1,1
"55","CDC5L",51,"Novel",988,"Spliceosome","PRPF8, PLRG1, SNW1, SF3B1, XAB2, SF3B2, SNRPD3, EFTUD2, SRSF1, DYNC1H1, TOP2A, BCAS2, SRRM1, CCDC12, CCDC94, SFPQ, UBC",17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
