"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"9",55752,"11-Sep","HighConf","Yes",NA,"SIN3A","Thyroid hormone signaling pathway (1)"
"127",2,"A2M","HighConf","Yes",NA,"CDC42, LRP1, ALDOA, ARHGDIB, ARHGEF6, IL1B, RHOF, PF4, TGFB2, GAB2","Osteoclast differentiation (3), AGE-RAGE signaling pathway in diabetic complications (3), Cytokine-cytokine receptor interaction (3), MAPK signaling pathway (3), Fc gamma R-mediated phagocytosis (2), Ras signaling pathway (2), Chemokine signaling pathway (2), Regulation of actin cytoskeleton (2), Neurotrophin signaling pathway (2), Phospholipase D signaling pathway (1), Fc epsilon RI signaling pathway (1), Sphingolipid signaling pathway (1), Cellular senescence (1), Inflammatory mediator regulation of TRP channels (1), IL-17 signaling pathway (1), Necroptosis (1), Th17 cell differentiation (1), Hematopoietic cell lineage (1), TNF signaling pathway (1), NOD-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Toll-like receptor signaling pathway (1), VEGF signaling pathway (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Tight junction (1), Focal adhesion (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1)"
"220",10006,"ABI1","HighConf","Yes",NA,"ITGB1, ACTR2, ARPC1B, SYK, EGFR","Regulation of actin cytoskeleton (3), PI3K-Akt signaling pathway (3), Tight junction (2), Fc gamma R-mediated phagocytosis (2), Phospholipase D signaling pathway (2), Focal adhesion (2), Rap1 signaling pathway (2), Platelet activation (2), Estrogen signaling pathway (1), GnRH signaling pathway (1), Calcium signaling pathway (1), Relaxin signaling pathway (1), Ras signaling pathway (1), Cytokine-cytokine receptor interaction (1), MAPK signaling pathway (1), Natural killer cell mediated cytotoxicity (1), Fc epsilon RI signaling pathway (1), Osteoclast differentiation (1), NF-kappa B signaling pathway (1), ECM-receptor interaction (1), Leukocyte transendothelial migration (1)"
"238",32,"ACACB","MedConf","Yes","Insulin resistance","OASL, SUN1, RRAGA, UBB, E2F3, ISG15, SP1","Mitophagy - animal (2), Cellular senescence (1), RIG-I-like receptor signaling pathway (1), Estrogen signaling pathway (1), Autophagy - animal (1)"
"262",1636,"ACE","MedConf","Yes","Renin secretion","AGT","Renin secretion (1)"
"268",22985,"ACIN1","HighConf","Yes","RNA transport, Spliceosome, mRNA surveillance pathway",NA,NA
"322",59,"ACTA2","MedConf","Yes","Relaxin signaling pathway","CFL1, VCL, ITGA1, PXN","Regulation of actin cytoskeleton (4), Focal adhesion (3), Leukocyte transendothelial migration (2), VEGF signaling pathway (1), Chemokine signaling pathway (1), ECM-receptor interaction (1), Hematopoietic cell lineage (1), PI3K-Akt signaling pathway (1), Fc gamma R-mediated phagocytosis (1)"
"342",10097,"ACTR2","HighConf","Yes","Tight junction","ABI1, CDC42, PDGFRB, ARPC1B, PSMA7","Regulation of actin cytoskeleton (3), Fc gamma R-mediated phagocytosis (2), Ras signaling pathway (2), Focal adhesion (2), Rap1 signaling pathway (2), MAPK signaling pathway (2), Phospholipase D signaling pathway (1), Calcium signaling pathway (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1), Neurotrophin signaling pathway (1), VEGF signaling pathway (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Tight junction (1), AGE-RAGE signaling pathway in diabetic complications (1), Leukocyte transendothelial migration (1), Chemokine signaling pathway (1), Proteasome (1)"
"433",117,"ADCYAP1R1","MedConf","Yes","cAMP signaling pathway, Renin secretion, Insulin secretion",NA,NA
"460",140,"ADORA3","HighConf","Yes","cGMP-PKG signaling pathway, Sphingolipid signaling pathway",NA,NA
