"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"6",104457,"0610010K14Rik","MedConf","Yes",NA,"Mga, Senp3, Wdr5, Tex10, Las1l, Rnf2, Taf6","Basal transcription factors (1)"
"242",434234,"2610020H08Rik","HighConf","Yes","Ribosome biogenesis in eukaryotes",NA,NA
"659",245350,"AA414768","HighConf","Yes","Ubiquitin mediated proteolysis",NA,NA
"677",67618,"Aasdhppt","MedConf","Yes",NA,"Fasn","Insulin signaling pathway (1), AMPK signaling pathway (1)"
"697",18670,"Abcb4","HighConf","Yes",NA,"Med1, Tbl1xr1, Tgs1","Wnt signaling pathway (1), Thyroid hormone signaling pathway (1), Endocrine resistance (1)"
"738",11308,"Abi1","MedConf","Yes",NA,"Elmo1, Arpc5, Crk, Arpc2","Fc gamma R-mediated phagocytosis (3), Regulation of actin cytoskeleton (3), Chemokine signaling pathway (2), Endocytosis (2), Focal adhesion (1), Insulin signaling pathway (1), Rap1 signaling pathway (1), ErbB signaling pathway (1), Neurotrophin signaling pathway (1), MAPK signaling pathway (1)"
"767",140500,"Acap3","HighConf","Yes","Endocytosis",NA,NA
"779",230379,"Acer2","MedConf","Yes","Sphingolipid signaling pathway, Sphingolipid metabolism","Smpd2, Ugcg, Galc","Sphingolipid metabolism (3), Sphingolipid signaling pathway (1)"
"798",80911,"Acox3","HighConf","Yes","cAMP signaling pathway",NA,NA
"809",14081,"Acsl1","HighConf","Yes","Adipocytokine signaling pathway","Tbl1xr1, Med1, Tgs1, Cpt1a","Insulin resistance (1), Glucagon signaling pathway (1), Adipocytokine signaling pathway (1), AMPK signaling pathway (1), Wnt signaling pathway (1), Thyroid hormone signaling pathway (1), Endocrine resistance (1)"
"833",67019,"Actr6","MedConf","Yes",NA,"Arpc2","Fc gamma R-mediated phagocytosis (1), Regulation of actin cytoskeleton (1), Endocytosis (1)"
"839",11481,"Acvr2b","HighConf","Yes",NA,"Smurf2, Smad4","Wnt signaling pathway (1), Apelin signaling pathway (1), Adherens junction (1), Th17 cell differentiation (1), Cell cycle (1), AGE-RAGE signaling pathway in diabetic complications (1), FoxO signaling pathway (1), Ubiquitin mediated proteolysis (1), Endocytosis (1)"
