"GeneSymbol","KEGGpresence","EntrezID","Replicate1","Zscore","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"120329","Present",120329,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"342615","Present",342615,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M","Present",2,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAAS","Present",8086,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AACS","Present",65985,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AADAC","Absent",13,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4","Absent",343066,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADAT","Present",51166,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAED1","Absent",195827,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAK1","Absent",22848,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC","Absent",28971,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMP","Absent",14,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AANAT","Present",15,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAR2","Absent",25980,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARD","Absent",441376,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARS","Present",16,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARSD1","Absent",80755,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDH","Absent",132949,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT","Absent",60496,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS","Present",10157,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AATF","Absent",26574,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AATK","Absent",9625,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABAT","Present",18,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
