"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"19",14,"AAMP","HighConf","Yes",NA,"RPL10","Ribosome (1)"
"23",16,"AARS","HighConf","Yes","Aminoacyl-tRNA biosynthesis","GARS, QARS, LARS, DARS, NARS, FARSB","Aminoacyl-tRNA biosynthesis (6)"
"50",22,"ABCB7","HighConf","Yes",NA,"ERCC2, CIAO1, NUBP2, FAM96B, RTEL1","Nucleotide excision repair (1)"
"152",48,"ACO1","HighConf","Yes","Biosynthesis of amino acids, Carbon metabolism, Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, 2-Oxocarboxylic acid metabolism","CS, IDH3B","2-Oxocarboxylic acid metabolism (2), Carbon metabolism (2), Biosynthesis of amino acids (2), Glyoxylate and dicarboxylate metabolism (1), Citrate cycle (TCA cycle) (2)"
"153",50,"ACO2","HighConf","Yes","Biosynthesis of amino acids, Carbon metabolism, Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, 2-Oxocarboxylic acid metabolism","CS, IDH3B","2-Oxocarboxylic acid metabolism (2), Carbon metabolism (2), Biosynthesis of amino acids (2), Glyoxylate and dicarboxylate metabolism (1), Citrate cycle (TCA cycle) (2)"
"196",60,"ACTB","HighConf","Yes",NA,"RAC1, HMGB1, GTF2A1, CCT4, CFL1, GTF3A, RUVBL1, PPP1CA, CCT8, CCT3, HCFC1, ACTN4, TCP1","Oocyte meiosis (1), mRNA surveillance pathway (1), Base excision repair (1), Non-alcoholic fatty liver disease (NAFLD) (1)"
"210",81,"ACTN4","HighConf","Yes",NA,"ACTB, UBE2I, RAC1, ALDOA, HGS, PSMA6","Proteasome (1), Carbon metabolism (1), Biosynthesis of amino acids (1), Ubiquitin mediated proteolysis (1), RNA transport (1), Non-alcoholic fatty liver disease (NAFLD) (1)"
"238",102,"ADAM10","HighConf","Yes",NA,"RPS27A","Ribosome (1)"
"440",84962,"AJUBA","HighConf","Yes",NA,"PLK1, TUBG1, CENPJ, CEP78, YWHAE, YWHAG","Oocyte meiosis (3), Cell cycle (3), Progesterone-mediated oocyte maturation (1)"
"446",102157402,"AK6","HighConf","Yes","Ribosome biogenesis in eukaryotes, Purine metabolism",NA,NA
"511",226,"ALDOA","HighConf","Yes","Biosynthesis of amino acids, Carbon metabolism","PGAM1, PFKP, GPI, ENO3, GAPDH, ACTN4","Carbon metabolism (5), Biosynthesis of amino acids (4), RNA degradation (2)"
"537",55821,"ALLC","HighConf","Yes","Purine metabolism",NA,NA
"563",55626,"AMBRA1","MedConf","Yes",NA,"DDB1","Ubiquitin mediated proteolysis (1), Nucleotide excision repair (1)"
"604",29882,"ANAPC2","HighConf","Yes","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation","AURKB, ESPL1, ANAPC5, BUB3, PSMD7, FZR1, PSMA4, PSMB5, CDC20, PSMB7, PSMB4, PTTG1, PSMA6, PSMD12, CDC23, CDC16, PSMD1, CCNE1, RPS27A, PSMD14, MAD2L1, PLK1, PSMC1","Cell cycle (11), Proteasome (10), Oocyte meiosis (9), Progesterone-mediated oocyte maturation (6), Ubiquitin mediated proteolysis (5), Ribosome (1)"
"606",51433,"ANAPC5","HighConf","Yes","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation","ANAPC2, PLK1, PSMA4, PSMD12, PSMC1, PSMA6, ESPL1, CDC16, PSMD14, CCNE1, MAD2L1, PSMB7, CDC23, PTTG1, PSMD7, FZR1, CDC20, RPS27A, PSMB4, BUB3, PSMB5, AURKB, PSMD1","Cell cycle (11), Proteasome (10), Oocyte meiosis (9), Progesterone-mediated oocyte maturation (6), Ubiquitin mediated proteolysis (5), Ribosome (1)"
"777",27301,"APEX2","HighConf","Yes","Base excision repair","FANCM, PCNA, PNKP, DUT, XPA","Nucleotide excision repair (2), Pyrimidine metabolism (1), Base excision repair (1), Mismatch repair (1), Cell cycle (1), DNA replication (1), Fanconi anemia pathway (1)"
"842",9716,"AQR","HighConf","Yes","Spliceosome","BUD31, PQBP1, CDC5L, ZNF830, WDR77, PRPF19","Spliceosome (4), Ubiquitin mediated proteolysis (1)"
"919",50650,"ARHGEF3","MedConf","Yes",NA,"RAC1","Non-alcoholic fatty liver disease (NAFLD) (1)"
"1105",79915,"ATAD5","MedConf","Yes",NA,"PCNA, RFC4, NIPBL, SMC3, RFC5, FANCM","Mismatch repair (3), Nucleotide excision repair (3), DNA replication (3), Cell cycle (2), Fanconi anemia pathway (1), Oocyte meiosis (1), Base excision repair (1)"
"1135",471,"ATIC","MedConf","Yes","Purine metabolism, One carbon pool by folate","MTHFD2, SHMT2, DHFR","One carbon pool by folate (3), Glyoxylate and dicarboxylate metabolism (1), Carbon metabolism (1), Biosynthesis of amino acids (1)"
"1158",476,"ATP1A1","HighConf","Yes","Cardiac muscle contraction","ATP1B3","Cardiac muscle contraction (1)"
"1164",483,"ATP1B3","HighConf","Yes","Cardiac muscle contraction","ATP1A1","Cardiac muscle contraction (1)"
"1177",498,"ATP5A1","HighConf","Yes","Oxidative phosphorylation","ATP5O, ATP5F1, ATP5I, STOML2, ATP5J2, YME1L1","Oxidative phosphorylation (4)"
"1182",515,"ATP5F1","MedConf","Yes","Oxidative phosphorylation","ATP5I, ATP5J2, ATP5O, NDUFB9, ATP5A1","Oxidative phosphorylation (5), Non-alcoholic fatty liver disease (NAFLD) (1)"
"1187",521,"ATP5I","HighConf","Yes","Oxidative phosphorylation","ATP5J2, ATP5F1, ATP5A1, ATP5O","Oxidative phosphorylation (4)"
"1189",9551,"ATP5J2","MedConf","Yes","Oxidative phosphorylation","ATP5I, ATP5A1, ATP5O, ATP5F1","Oxidative phosphorylation (4)"
"1193",539,"ATP5O","HighConf","Yes","Oxidative phosphorylation","ATP5F1, ATP5I, ATP5J2, ATP5A1","Oxidative phosphorylation (4)"
"1195",537,"ATP6AP1","HighConf","Yes","Oxidative phosphorylation",NA,NA
"1199",23545,"ATP6V0A2","HighConf","Yes","Oxidative phosphorylation","ATP6V0D1, ATP6V0C, ATP6V0B, ATP6V1H","Oxidative phosphorylation (4)"
"1201",533,"ATP6V0B","HighConf","Yes","Oxidative phosphorylation","ATP6V1H, ATP6V0A2, ATP6V0C, ATP6V0D1","Oxidative phosphorylation (4)"
"1202",527,"ATP6V0C","HighConf","Yes","Oxidative phosphorylation","ATP6V0B, ATP6V1H, ATP6V0D1, ATP6V0A2","Oxidative phosphorylation (4)"
"1203",9114,"ATP6V0D1","HighConf","Yes","Oxidative phosphorylation","ATP6V0C, ATP6V0B, ATP6V0A2, ATP6V1H","Oxidative phosphorylation (4)"
"1219",51606,"ATP6V1H","HighConf","Yes","Oxidative phosphorylation","ATP6V0A2, ATP6V0D1, ATP6V0C, ATP6V0B","Oxidative phosphorylation (4)"
"1256",9212,"AURKB","HighConf","Yes",NA,"CENPN, SPC24, RANGAP1, ESPL1, KIF23, CDCA8, ANAPC5, KIF20A, CENPI, FZR1, PSMB4, RPS27A, RPS27, PSMD12, PSMA4, ANAPC2, NPM1, NCL, PSMD1, BIRC5, MAD2L1, NUP107, PSMD7, PSMB5, PSMC1, CDC20, PLK1, SMC4, INCENP, PTTG1, CUL3, CDC16, PSMA6, PSMD14, CDC23, NDC80, PSMB7, SMC2, SMC3, XPO1, BUB3, STAG1","Cell cycle (13), Oocyte meiosis (10), Proteasome (10), Progesterone-mediated oocyte maturation (7), Ubiquitin mediated proteolysis (7), RNA transport (3), Ribosome (3), Ribosome biogenesis in eukaryotes (1)"
"1320",9531,"BAG3","HighConf","Yes",NA,"HSPA8","Spliceosome (1)"
