"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"9",55752,"11-Sep","HighConf","Yes",NA,"UBC, SIN3A","Thyroid hormone signaling pathway (1)"
"127",2,"A2M","HighConf","Yes",NA,"CDC42, RHOB, LRP1, ALDOA, RHOV, ARHGDIB, IGF2, ARHGEF3, ARHGEF6, IL1B, KALRN, RHOF, PF4, SERPING1, GAB2, TGFB2","Osteoclast differentiation (3), AGE-RAGE signaling pathway in diabetic complications (3), MAPK signaling pathway (3), Cytokine-cytokine receptor interaction (3), Fc gamma R-mediated phagocytosis (2), Ras signaling pathway (2), Chemokine signaling pathway (2), Regulation of actin cytoskeleton (2), Phospholipase D signaling pathway (1), Sphingolipid signaling pathway (1), Fc epsilon RI signaling pathway (1), Cell cycle (1), Th17 cell differentiation (1), Hematopoietic cell lineage (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Vasopressin-regulated water reabsorption (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Focal adhesion (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1)"
"159",20,"ABCA2","MedConf","Yes",NA,"ATP1A3, ATP1B3, ATP12A","Endocrine and other factor-regulated calcium reabsorption (2), Adrenergic signaling in cardiomyocytes (2), Insulin secretion (2), Aldosterone-regulated sodium reabsorption (2), Thyroid hormone signaling pathway (2), cAMP signaling pathway (2), Thyroid hormone synthesis (2)"
"220",10006,"ABI1","HighConf","Yes",NA,"ACTR2, EPS8, SYK, ITGB1, ARPC1B, EGFR","Regulation of actin cytoskeleton (3), PI3K-Akt signaling pathway (3), Fc gamma R-mediated phagocytosis (2), Phospholipase D signaling pathway (2), Focal adhesion (2), Rap1 signaling pathway (2), Platelet activation (2), GnRH signaling pathway (1), Relaxin signaling pathway (1), Ras signaling pathway (1), MAPK signaling pathway (1), Cytokine-cytokine receptor interaction (1), Fc epsilon RI signaling pathway (1), Osteoclast differentiation (1), NF-kappa B signaling pathway (1), ECM-receptor interaction (1), Phagosome (1), Leukocyte transendothelial migration (1)"
"238",32,"ACACB","MedConf","Yes",NA,"OASL, SUN1, UBQLN4, E2F3, ISG15, RPS27A, UBC, UBB, SP1","Mitophagy - animal (2), Cell cycle (1), RIG-I-like receptor signaling pathway (1), Ribosome (1)"
"246",36,"ACADSB","MedConf","Yes",NA,"HADHA","Lysine degradation (1)"
"262",1636,"ACE","MedConf","Yes","Renin secretion","AGT","Renin secretion (1)"
"268",22985,"ACIN1","HighConf","Yes","RNA transport, Spliceosome","SRPK2, UBC",NA
"322",59,"ACTA2","MedConf","Yes","Relaxin signaling pathway","SORBS3, CFL1, VCL, ITGA1, PXN, UBC","Regulation of actin cytoskeleton (4), Focal adhesion (3), Leukocyte transendothelial migration (2), Chemokine signaling pathway (1), ECM-receptor interaction (1), Hematopoietic cell lineage (1), PI3K-Akt signaling pathway (1), Fc gamma R-mediated phagocytosis (1)"
"342",10097,"ACTR2","HighConf","Yes",NA,"ABI1, WIPF2, CDC42, ARPC1B, PDGFRB, PSMA7, UBC","Regulation of actin cytoskeleton (3), Fc gamma R-mediated phagocytosis (2), Ras signaling pathway (2), Focal adhesion (2), Rap1 signaling pathway (2), MAPK signaling pathway (2), Phospholipase D signaling pathway (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Proteasome (1)"
"366",8038,"ADAM12","MedConf","Yes",NA,"ITGB1, EGFR, LRIG1","Focal adhesion (2), Rap1 signaling pathway (2), Regulation of actin cytoskeleton (2), PI3K-Akt signaling pathway (2), Phospholipase D signaling pathway (1), GnRH signaling pathway (1), Relaxin signaling pathway (1), Ras signaling pathway (1), MAPK signaling pathway (1), Cytokine-cytokine receptor interaction (1), Platelet activation (1), ECM-receptor interaction (1), Phagosome (1), Leukocyte transendothelial migration (1)"
"433",117,"ADCYAP1R1","MedConf","Yes","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion, Insulin secretion",NA,NA
"440",127,"ADH4","MedConf","Yes",NA,"GSTA3, MGST1, ALDH3A2, GSTO1, GSTA1, GSTP1","Platinum drug resistance (5), Lysine degradation (1)"
"460",140,"ADORA3","HighConf","Yes","Neuroactive ligand-receptor interaction, Sphingolipid signaling pathway",NA,NA
"473",154,"ADRB2","HighConf","Yes","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion, Adrenergic signaling in cardiomyocytes","AGT, ADRBK1, VIPR1, MC2R, PRKAR2B, EDN1, GHRH, GPBAR1, HTR6, PTGER2, GRK4, DRD5, GNAI3, PTGIR, UBC, CFTR, CXCR4, SCT, HRH2, CALCR","Neuroactive ligand-receptor interaction (8), cAMP signaling pathway (6), Chemokine signaling pathway (3), Renin secretion (3), Platelet activation (2), Leukocyte transendothelial migration (2), Dopaminergic synapse (2), Serotonergic synapse (2), Relaxin signaling pathway (2), Cytokine-cytokine receptor interaction (1), Osteoclast differentiation (1), Sphingolipid signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Long-term depression (1), Rap1 signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1)"
"475",156,"ADRBK1","MedConf","Yes",NA,"GNA15, CXCR5, CXCL8, CXCR3, EDN1, TACR1, TACR3, DRD2, GNA11, AVPR1A, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, AGT, GIT1, CXCR4, CX3CR1, ADRB2, UBC, OPRM1, CCR8, NMUR2","Neuroactive ligand-receptor interaction (10), Chemokine signaling pathway (7), Cytokine-cytokine receptor interaction (7), Renin secretion (2), cAMP signaling pathway (2), Regulation of actin cytoskeleton (2), GnRH signaling pathway (2), Phospholipase D signaling pathway (2), Relaxin signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Adrenergic signaling in cardiomyocytes (1), Leukocyte transendothelial migration (1), Long-term depression (1), Insulin secretion (1), Dopaminergic synapse (1), Rap1 signaling pathway (1), TNF signaling pathway (1), RIG-I-like receptor signaling pathway (1), NOD-like receptor signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1)"
"496",174,"AFP","MedConf","Yes",NA,"UBC, JUN","Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Apoptosis (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Osteoclast differentiation (1), cAMP signaling pathway (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"510",177,"AGER","MedConf","Yes","AGE-RAGE signaling pathway in diabetic complications","IKBKB, NFKBIB, RELA, ITGAM","Th1 and Th2 cell differentiation (3), Th17 cell differentiation (3), T cell receptor signaling pathway (3), RIG-I-like receptor signaling pathway (3), Chemokine signaling pathway (3), NOD-like receptor signaling pathway (3), Apoptosis (2), Ras signaling pathway (2), Osteoclast differentiation (2), TNF signaling pathway (2), MAPK signaling pathway (2), Toll-like receptor signaling pathway (2), PI3K-Akt signaling pathway (2), NF-kappa B signaling pathway (2), Hematopoietic cell lineage (1), Phagosome (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), Regulation of actin cytoskeleton (1), Sphingolipid signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), cAMP signaling pathway (1)"
"532",375790,"AGRN","HighConf","Yes","ECM-receptor interaction","EXT2, GPC2, NCAM1, MUSK, CSPG5, HPSE2, SLC35D2, ARHGEF6, APOB, ITGB1, ITGA1, LAMA5, PTK2B, PXN, CDC42, LRP1","Focal adhesion (5), Regulation of actin cytoskeleton (5), Leukocyte transendothelial migration (4), ECM-receptor interaction (3), PI3K-Akt signaling pathway (3), Chemokine signaling pathway (3), GnRH signaling pathway (2), Rap1 signaling pathway (2), Hematopoietic cell lineage (1), Phospholipase D signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), MAPK signaling pathway (1), Platelet activation (1), Phagosome (1)"
"534",183,"AGT","MedConf","Yes","Renin secretion","ADRBK1, GNA15, CXCR5, CXCL13, CXCL8, MTNR1B, CXCR3, PRKAR2B, EDN1, TACR1, TACR3, NPY, DRD2, PNOC, GNA11, KALRN, CXCL11, HTR1A, SSTR4, AVPR1A, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, ACE, MME, DNM1, ADRB2, OPRM1, NCOA6, NMUR2, CXCR4, GNAI3, C5, CFTR, CCR8","Neuroactive ligand-receptor interaction (17), Chemokine signaling pathway (9), cAMP signaling pathway (8), Cytokine-cytokine receptor interaction (8), Phospholipase D signaling pathway (3), Renin secretion (3), Relaxin signaling pathway (3), Adrenergic signaling in cardiomyocytes (2), Leukocyte transendothelial migration (2), Dopaminergic synapse (2), Sphingolipid signaling pathway (2), Long-term depression (2), Serotonergic synapse (2), Rap1 signaling pathway (2), GnRH signaling pathway (2), Regulation of actin cytoskeleton (2), Toll-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Endocrine and other factor-regulated calcium reabsorption (1), Platelet activation (1), Hematopoietic cell lineage (1), PI3K-Akt signaling pathway (1), Insulin secretion (1), TNF signaling pathway (1), RIG-I-like receptor signaling pathway (1), NOD-like receptor signaling pathway (1), NF-kappa B signaling pathway (1)"
