"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"183",51703,"ACSL5","MedConf","Yes","Fatty acid degradation","CPT1B","Glucagon signaling pathway (1), Fatty acid degradation (1)"
"214",10097,"ACTR2","MedConf","Yes","Tight junction","DBNL, ARPC1B, ARPC4-TTLL3","Regulation of actin cytoskeleton (1)"
"332",140,"ADORA3","HighConf","Yes","cGMP-PKG signaling pathway",NA,NA
"392",192669,"AGO3","MedConf","Yes",NA,"SP1","TGF-beta signaling pathway (1)"
"508",501,"ALDH7A1","HighConf","Yes","Fatty acid degradation, Arginine and proline metabolism","CYP4A11","Fatty acid degradation (1)"
"563",55626,"AMBRA1","MedConf","Yes","Autophagy - animal",NA,NA
"607",51434,"ANAPC7","MedConf","Yes","Cell cycle","PSME4, PSMC4, CREBBP, PSMB6, CDK1","Cell cycle (2), Gap junction (1), Cellular senescence (1), p53 signaling pathway (1), HIF-1 signaling pathway (1), FoxO signaling pathway (1), Glucagon signaling pathway (1), Long-term potentiation (1), TGF-beta signaling pathway (1), cAMP signaling pathway (1), Wnt signaling pathway (1)"
"762",317,"APAF1","MedConf","Yes","Apoptosis, Apoptosis - multiple species, Platinum drug resistance, p53 signaling pathway","CASP3, CASP8, DIABLO","Apoptosis (6), Apoptosis - multiple species (3), IL-17 signaling pathway (2), TNF signaling pathway (2), p53 signaling pathway (2), Platinum drug resistance (2), Natural killer cell mediated cytotoxicity (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1), NOD-like receptor signaling pathway (1), Non-alcoholic fatty liver disease (NAFLD) (2)"
"883",9938,"ARHGAP25","MedConf","Yes",NA,"RHOD, RASGRF2","Ras signaling pathway (1), MAPK signaling pathway (1)"
"888",257106,"ARHGAP30","MedConf","Yes",NA,"RHOD, RASGRF2","Ras signaling pathway (1), MAPK signaling pathway (1)"
"890",9743,"ARHGAP32","MedConf","Yes",NA,"RASGRF2, RHOD","Ras signaling pathway (1), MAPK signaling pathway (1)"
"996",10095,"ARPC1B","HighConf","Yes","Regulation of actin cytoskeleton","ACTR2, ARPC4-TTLL3","Tight junction (1)"
"1000",100526693,"ARPC4-TTLL3","MedConf","Yes",NA,"ARPC1B, ACTR2","Tight junction (1), Regulation of actin cytoskeleton (1)"
"1110",1386,"ATF2","MedConf","Yes","MAPK signaling pathway, TNF signaling pathway, PI3K-Akt signaling pathway, Glucagon signaling pathway, cGMP-PKG signaling pathway","CHRD, PRKG2, CREBBP, SMARCB1, MAPK1","TGF-beta signaling pathway (3), HIF-1 signaling pathway (2), FoxO signaling pathway (2), Long-term potentiation (2), cAMP signaling pathway (2), Circadian entrainment (2), Gap junction (2), cGMP-PKG signaling pathway (2), Platelet activation (2), Long-term depression (2), Cell cycle (1), Glucagon signaling pathway (1), Wnt signaling pathway (1), T cell receptor signaling pathway (1), Rap1 signaling pathway (1), IL-17 signaling pathway (1), Ras signaling pathway (1), Apelin signaling pathway (1), Toll-like receptor signaling pathway (1), Focal adhesion (1), PI3K-Akt signaling pathway (1), Cellular senescence (1), TNF signaling pathway (1), Autophagy - animal (1), NOD-like receptor signaling pathway (1), Natural killer cell mediated cytotoxicity (1), Regulation of actin cytoskeleton (1), MAPK signaling pathway (1), Platinum drug resistance (1), Apoptosis (1)"
"1130",84938,"ATG4C","MedConf","Yes","Autophagy - animal, Autophagy - other",NA,NA
"1200",50617,"ATP6V0A4","HighConf","Yes","Phagosome","ATP6V0D1","Phagosome (1)"
"1203",9114,"ATP6V0D1","MedConf","Yes","Phagosome","ATP6V0A4","Phagosome (1)"
"1333",578,"BAK1","HighConf","Yes","Apoptosis, Apoptosis - multiple species, Platinum drug resistance",NA,NA
"1453",637,"BID","HighConf","Yes","Apoptosis, Apoptosis - multiple species, Platinum drug resistance, p53 signaling pathway, Natural killer cell mediated cytotoxicity, Non-alcoholic fatty liver disease (NAFLD)","CASP3, FAS, PMAIP1, FADD, CASP8","Apoptosis (9), Platinum drug resistance (5), TNF signaling pathway (4), p53 signaling pathway (4), Apoptosis - multiple species (4), IL-17 signaling pathway (3), Toll-like receptor signaling pathway (2), NOD-like receptor signaling pathway (2), Natural killer cell mediated cytotoxicity (2), MAPK signaling pathway (2), Non-alcoholic fatty liver disease (NAFLD) (3)"
"2200",836,"CASP3","HighConf","Yes","Apoptosis, Apoptosis - multiple species, Platinum drug resistance, MAPK signaling pathway, p53 signaling pathway, Natural killer cell mediated cytotoxicity, Non-alcoholic fatty liver disease (NAFLD), TNF signaling pathway, IL-17 signaling pathway","EIF4G1, EIF4E, DIABLO, DBNL, APAF1, BID, FADD, CASP8","Apoptosis (10), Apoptosis - multiple species (5), Platinum drug resistance (4), p53 signaling pathway (3), IL-17 signaling pathway (2), Toll-like receptor signaling pathway (2), TNF signaling pathway (2), NOD-like receptor signaling pathway (2), RNA transport (2), Natural killer cell mediated cytotoxicity (1), HIF-1 signaling pathway (1), PI3K-Akt signaling pathway (1), Non-alcoholic fatty liver disease (NAFLD) (2)"
"2202",838,"CASP5","MedConf","Yes","NOD-like receptor signaling pathway","EIF4E, EIF4G1","RNA transport (2), HIF-1 signaling pathway (1), PI3K-Akt signaling pathway (1)"
"2205",841,"CASP8","HighConf","Yes","Apoptosis, Apoptosis - multiple species, Platinum drug resistance, p53 signaling pathway, NOD-like receptor signaling pathway, Non-alcoholic fatty liver disease (NAFLD), TNF signaling pathway, Toll-like receptor signaling pathway, IL-17 signaling pathway","MAPK1, BID, CASP3, EIF4G1, EIF4E, FAS, APAF1, FADD, EZR","Apoptosis (10), Platinum drug resistance (6), TNF signaling pathway (4), Apoptosis - multiple species (4), p53 signaling pathway (4), Natural killer cell mediated cytotoxicity (4), IL-17 signaling pathway (3), MAPK signaling pathway (3), Toll-like receptor signaling pathway (2), NOD-like receptor signaling pathway (2), Regulation of actin cytoskeleton (2), HIF-1 signaling pathway (2), PI3K-Akt signaling pathway (2), RNA transport (2), Leukocyte transendothelial migration (1), Tight junction (1), T cell receptor signaling pathway (1), Rap1 signaling pathway (1), Circadian entrainment (1), Ras signaling pathway (1), Gap junction (1), Apelin signaling pathway (1), cGMP-PKG signaling pathway (1), FoxO signaling pathway (1), Long-term potentiation (1), TGF-beta signaling pathway (1), Focal adhesion (1), cAMP signaling pathway (1), Platelet activation (1), Cellular senescence (1), Autophagy - animal (1), Long-term depression (1), Non-alcoholic fatty liver disease (NAFLD) (3)"
"2415",6351,"CCL4","MedConf","Yes","Toll-like receptor signaling pathway",NA,NA
"2432",896,"CCND3","MedConf","Yes","p53 signaling pathway, Wnt signaling pathway, Cellular senescence, PI3K-Akt signaling pathway, Focal adhesion, Cell cycle","CREBBP, MED8, MED21, CCNK","HIF-1 signaling pathway (1), FoxO signaling pathway (1), Cell cycle (1), Glucagon signaling pathway (1), Long-term potentiation (1), TGF-beta signaling pathway (1), cAMP signaling pathway (1), Wnt signaling pathway (1)"
"2436",899,"CCNF","HighConf","Yes",NA,"CDK1","Gap junction (1), Cell cycle (1), Cellular senescence (1), p53 signaling pathway (1)"
"2444",8812,"CCNK","MedConf","Yes",NA,"CCND3","Cell cycle (1), Focal adhesion (1), PI3K-Akt signaling pathway (1), Cellular senescence (1), Wnt signaling pathway (1), p53 signaling pathway (1)"
"2578",994,"CDC25B","HighConf","Yes","MAPK signaling pathway, Cell cycle","CDK1","Gap junction (1), Cell cycle (1), Cellular senescence (1), p53 signaling pathway (1)"
"2641",983,"CDK1","MedConf","Yes","p53 signaling pathway, Cellular senescence, Cell cycle, Gap junction","KHDRBS1, CDC25B, CCNF, GADD45G, USP16, ANAPC7, CEP152, CNEP1R1, PSME4, MNAT1, PSMB6, PSMC4, ORC3","Cell cycle (4), MAPK signaling pathway (2), FoxO signaling pathway (1), Cellular senescence (1), p53 signaling pathway (1), Apoptosis (1)"
"2768",22995,"CEP152","MedConf","Yes",NA,"CDK1","Gap junction (1), Cell cycle (1), Cellular senescence (1), p53 signaling pathway (1)"
"2794",9350,"CER1","MedConf","Yes","Wnt signaling pathway","RGMA, WNT1","Wnt signaling pathway (1)"
"2864",57680,"CHD8","MedConf","Yes","Wnt signaling pathway",NA,NA
"2891",128866,"CHMP4B","HighConf","Yes",NA,"CHMP4C",NA
"2892",92421,"CHMP4C","MedConf","Yes",NA,"CHMP4B",NA
"2906",8646,"CHRD","MedConf","Yes","TGF-beta signaling pathway","RGMA, ATF2","cGMP-PKG signaling pathway (1), Glucagon signaling pathway (1), PI3K-Akt signaling pathway (1), TNF signaling pathway (1), MAPK signaling pathway (1)"
"3146",255919,"CNEP1R1","MedConf","Yes",NA,"PPP2CA, CDK1, PPP4R2","Gap junction (1), Cell cycle (1), Cellular senescence (1), p53 signaling pathway (1), Autophagy - other (1), Tight junction (1), TGF-beta signaling pathway (1), PI3K-Akt signaling pathway (1), Autophagy - animal (1), Long-term depression (1)"
"3170",55571,"CNOT11","HighConf","Yes",NA,"EIF4G1, EIF4E, PAN2","RNA transport (2), HIF-1 signaling pathway (1), PI3K-Akt signaling pathway (1)"
"3184",1268,"CNR1","MedConf","Yes","Rap1 signaling pathway","NMS, HTR1F, SAA1, GNB2, CXCR4","Circadian entrainment (1), Ras signaling pathway (1), Apelin signaling pathway (1), PI3K-Akt signaling pathway (1), Leukocyte transendothelial migration (1), cAMP signaling pathway (1)"
"3271",78989,"COLEC11","MedConf","Yes","Phagosome",NA,NA
"3302",50813,"COPS7A","HighConf","Yes",NA,"LAT","T cell receptor signaling pathway (1), Rap1 signaling pathway (1), Ras signaling pathway (1), Natural killer cell mediated cytotoxicity (1)"
"3342",1340,"COX6B1","HighConf","Yes","Non-alcoholic fatty liver disease (NAFLD)",NA,NA
"3349",170712,"COX7B2","MedConf","Yes","Non-alcoholic fatty liver disease (NAFLD)",NA,NA
"3399",1375,"CPT1B","MedConf","Yes","Fatty acid degradation, Glucagon signaling pathway","CPT2, ACSL5","Fatty acid degradation (2)"
