"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"127",2,"A2M","HighConf","Yes",NA,"LRP1, ARHGEF6, RHOF","Regulation of actin cytoskeleton (1)"
"268",22985,"ACIN1","HighConf","Yes","Spliceosome, mRNA surveillance pathway",NA,NA
"342",10097,"ACTR2","HighConf","Yes",NA,"PDGFRB, PSMA7","EGFR tyrosine kinase inhibitor resistance (1), Rap1 signaling pathway (1), Focal adhesion (1), Regulation of actin cytoskeleton (1), Ras signaling pathway (1), MAPK signaling pathway (1), PI3K-Akt signaling pathway (1), Proteasome (1)"
"473",154,"ADRB2","HighConf","Yes","cAMP signaling pathway","GHRH, GPBAR1, HTR6, CXCR4","Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), cAMP signaling pathway (1)"
"532",375790,"AGRN","HighConf","Yes",NA,"LRP1, PXN, ARHGEF6","Regulation of actin cytoskeleton (2), Chemokine signaling pathway (1), Focal adhesion (1), Leukocyte transendothelial migration (1)"
"569",326,"AIRE","HighConf","Yes",NA,"HDAC2","Notch signaling pathway (1), Thyroid hormone signaling pathway (1)"
"636",224,"ALDH3A2","HighConf","Yes","Lysine degradation",NA,NA
"1002",55843,"ARHGAP15","HighConf","Yes",NA,"ARHGEF6, RHOF","Regulation of actin cytoskeleton (1)"
"1023",394,"ARHGAP5","HighConf","Yes","Leukocyte transendothelial migration, Focal adhesion","RHOF, ARHGEF6","Regulation of actin cytoskeleton (1)"
"1050",9459,"ARHGEF6","HighConf","Yes","Regulation of actin cytoskeleton","ARHGAP5, RHOF, AGRN, ARHGAP15, PXN, A2M","Focal adhesion (2), Leukocyte transendothelial migration (2), Chemokine signaling pathway (1), Regulation of actin cytoskeleton (1)"
"1106",405,"ARNT","HighConf","Yes",NA,"CXCR4, SLC2A1, CREB1, JUN, SMAD4, EPAS1, SP1","Estrogen signaling pathway (3), cAMP signaling pathway (2), TNF signaling pathway (2), Osteoclast differentiation (2), AGE-RAGE signaling pathway in diabetic complications (2), Mitophagy - animal (2), Longevity regulating pathway (1), PI3K-Akt signaling pathway (1), Focal adhesion (1), IL-17 signaling pathway (1), NOD-like receptor signaling pathway (1), Apoptosis (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1), Thyroid hormone signaling pathway (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1)"
"1285",483,"ATP1B3","HighConf","Yes","Thyroid hormone signaling pathway, cAMP signaling pathway","PRKX",NA
